station;to station;azimuth;distance m
Hughes;Schnackenberg;107.821872222222000;23813.300
Hughes;Hubbard;192.440277777778000;27525.240
Schnackenberg;Kendrick;130.703727777778000;27803.000
Schnackenberg;Heard;176.645913888889000;24233.880
Heard;Kendrick;72.856286111111100;20572.360
Heard;Knob Noster;102.812227777778000;30715.570
Kendrick;High Point Tebo;52.253616666666700;15331.100
Kendrick;Knob Noster;141.220169444444000;16483.730
Knob Noster;High Point Tebo;4.550052777777780;22307.840
Knob Noster;Normal;83.261952777777800;16273.840
High Point Tebo;Caldwell;86.871761111111100;16056.410
High Point Tebo;Normal;144.689763888889000;24906.910
Normal;Baker;90.351175000000000;28892.940
Normal;Chapel Hill;121.693230555556000;32623.270
Caldwell;Baker;128.061658333333000;34671.820
Caldwell;Normal;184.298241666667000;21264.120
Chapel Hill;Baker;3.624633333333330;17000.050
Chapel Hill;Thornton;62.073663888888900;18522.780
Baker;Fulton;58.584338888888900;24405.630
Baker;Thornton;118.459663888889000;17394.240
Hutton Mound;Fulton;134.071680555556000;15625.530
Hutton Mound;Baker;202.094172222222000;25486.340
Thornton;Fulton;14.650569444444400;21727.320
Thornton;Bowler;114.659797222222000;14120.500
Fulton;Berry;131.903388888889000;29150.230
Fulton;Bowler;164.709966666667000;27894.670
Bowler;Berry;62.529677777777800;16154.200
Bowler;Marty;115.338627777778000;26508.270
Berry;Haskin;50.724005555555600;14132.490
Berry;Marty;152.780388888889000;21117.510
Marty;Thomas;49.484788888888900;25514.390
Marty;Eckman;101.638736111111000;29251.150
Haskin;Thomas;121.558394444444000;21302.060
Haskin;Marty;182.566083333333000;27755.180
Thomas;Bebe Mound;62.270605555555600;16352.870
Thomas;Eckman;157.484172222222000;24306.520
Eckman;Bebe Mound;9.684786111111110;30503.420
Eckman;Kanwaka;80.986897222222200;34589.860
Bebe Mound;Simmons;92.691227777777800;32505.090
Bebe Mound;Kanwaka;130.296444444444000;38084.370
Kanwaka;Simmons;8.214447222222220;23356.490
Kanwaka;Elevation;88.149922222222200;31667.310
Simmons;Mabon;92.702733333333300;30569.160
Simmons;Elevation;127.942211111111000;35914.140
Elevation;Clark KS;67.552177777777800;33769.400
Elevation;Adams;104.303413888889000;27882.090
Mabon;Clark KS;104.918330555556000;30088.620
Mabon;Elevation;185.896683333333000;20759.060
Powell;Elevation;245.880722222222000;15840.400
Powell;Mabon;318.928952777778000;18808.380
Adams;Clark KS;11.770108333333300;20222.410
Adams;Zean Dale;99.221208333333300;29460.770
Clark KS;Reinhard;90.512202777777800;38508.210
Clark KS;Zean Dale;134.464061111111000;34984.130
Meyer;Adams;236.938330555556000;23862.870
Meyer;Clark KS;293.091455555555000;17311.180
Zean Dale;Reinhard;29.083577777777800;27695.450
Zean Dale;Erricssen;113.877530555556000;28582.290
Reinhard;Robbins;121.696841666667000;23815.970
Reinhard;Erricssen;160.393908333333000;37951.600
Humboldt;Zean Dale;249.983950000000000;20753.560
Humboldt;Reinhard;340.409522222222000;18185.770
Erricssen;Robbins;17.859213888888900;24426.900
Erricssen;Wilmer;74.870386111111100;29320.840
White City;Robbins;163.110441666667000;20676.600
White City;Reinhard;242.897241666667000;16040.360
Robbins;Taylor KS;59.009625000000000;21133.800
Robbins;Wilmer;126.792286111111000;26008.780
Taylor KS;Iron Mound;79.448763888888900;44553.420
Taylor KS;Vine Creek;126.395300000000000;41065.970
Wilmer;Taylor KS;353.997988888889000;26597.230
Wilmer;Vine Creek;86.040219444444400;30355.620
